File No,Applicant Name,Location/ Controlled Area,Purpose,Activity,Granted Area,District,CLU Permission on,CLU Corrigendum on,clu_year,Sl. No.,Location on Map
CLU/HR-160,Five Star Fertilizer & Chemical,Tohana,Industrial,Industrial Building,2655.75sqm.,Hisar,07/01/1985,--,1985,1,Map View
CLU/HR-308,Om Parkash Aggarwal C/o M/s Adrash Oil Mills,Satrod Khurd,Industrial,Industrial Building,3945.69sqm.,Hisar,28/04/1986,--,1986,2,Map View
CLU/HR-314,Rajendera Rice & General Mills,Tohana,Industrial,Industrial Building,11685.3sqm.,Hisar,25/06/1986,--,1986,4,Map View
CLU/HR-320,M/s Badopalia Steels Pvt. Ltd.,NULL,Industrial,Industrial Building,1821sqm.,Hisar,14/08/1986,--,1986,6,Map View
CLU/HR-373,M/s Singh Oil Mills,Gangwa,Industrial,Industrial Unit,674.46sqm.,Hisar,04/02/1988,--,1988,1,Map View
CLU/HR-376,New Chem Plastic Industry,Tohana,Industrial,Industrial Unit,140020sqm.,Hisar,20/12/1988,--,1988,3,Map View
CLU/HR-120,M/s Krishna Rice Mills,Tohana,Industrial,Industrial Unit,8930.9sqm.,Hisar,20/03/1989,--,1989,3,Map View
CLU/HR-445,M/s Skipper Beverages,Hansi,Industrial,Industrial Unit,9434.23sqm.,Hisar,24/01/1989,--,1989,1,Map View
CLU/HR-459,M/s Deepak Industries,Hansi,Industrial,Industrial Unit,6449.67sqm.,Hisar,28/04/1989,--,1989,4,Map View
CLU/HR-457,Jangra Machinary Store,Hansi,Industrial,Industrial Unit,278.3sqm.,Hisar,23/03/1990,--,1990,5,Map View
CLU/HR-497,Ram Tubes Ltd.,Hansi,Industrial,Industrial Unit,3313.12sqm.,Hisar,22/06/1990,--,1990,9,Map View
CLU/HR-505,Chaudhary Solvex Pvt. Ltd.,Tohana,Industrial,Industrial Unit,11340.3sqm.,Hisar,20/06/1990,--,1990,8,Map View
CLU/HR-441,M/s Sunil Industries,Hansi,Industrial,Industrial Unit,556.6sqm.,Hisar,31/01/1992,--,1992,2,Map View
CLU/HR-563,Jyoti Industries,Hansi,Industrial,Industrial Unit,3147.87sqm.,Hisar,03/08/1992,--,1992,7,Map View
CLU/HR-671,M/s United Paper Allied Industry,Shekhupura,Industrial,Industrial Unit,4263.4sqm.,Hisar,13/01/1992,--,1992,1,Map View
CLU/HR-570,M/s Vardhman Industry,Hansi,Industrial,Industrial Unit,17610.5sqm.,Hisar,16/05/1994,--,1994,11,Map View
CLU/HR-575,M/s Raman Spinning Mill,Quatabpur,Industrial,Industrial Unit,9459.52sqm.,Hisar,29/03/1994,--,1994,6,Map View
CLU/HR-584,M/s Radhika Spinning Mill,Hansi,Industrial,Industrial Unit,20284.9sqm.,Hisar,12/04/1994,--,1994,7,Map View
CLU/HR-594,M/s Bansal Rice Mill,Shekhupura,Industrial,Industrial Unit,4749.2sqm.,Hisar,06/06/1995,--,1995,19,Map View
CLU/HR-595,M/s Ganesh Flour Mill,Hansi,Industrial,Industrial Unit,1586.5sqm.,Hisar,25/07/1995,--,1995,21,Map View
CLU/HR-617,M/s Radhika Fibers,Hansi,Industrial,Industrial Unit,88018.4sqm.,Hisar,02/06/1997,--,1997,17,Map View
CLU/HR-1079,"Mrs. Sarojini Rathore, Chairman, Rathore Memorial Educational Trust",Kaimri- Hisar road.,Institutional,Educational,8220.1sqm.,Hisar,20/09/2000,--,2000,24,Map View
CLU/HR-1105,M/s Indian Oil Corporation Pvt. Ltd.,"Rajgarh Road, Hisar.",Commercial,Commercial,1600.33sqm.,Hisar,01/08/2001,--,2001,42,Map View
CLU/HR-638,M/s Otto International Pvt. Ltd.,Hisar,Industrial,Industrial,2710.83sqm.,Hisar,21/05/2002,--,2002,14,Map View
CLU/HR-648,K.L. Arya DAV Public School,Hisar,Institutional,High School,23481.5Sq.yds,Hisar,11/12/2002,--,2002,42,Map View
CLU/HR-1081,Asha Nand Education Welfare Society,"Delhi Road, Hisar.",Institutional,Educational,29803.2sqm.,Hisar,09/07/2003,--,2003,26,Map View
CLU/HR-1085,Smt. Vinita Sindhu,"Delhi Road, Hisar",Commercial,Commercial,1672.99sqm.,Hisar,02/09/2003,--,2003,34,Map View
CLU/HR-1092,"Sh. Sunil Bansal s/o Sita Ram Bansal, Daizy Motors Pvt. Ltd.","Byepass, Hisar.",Commercial,Commercial,4862.75sqm.,Hisar,15/05/2003,--,2003,22,Map View
CLU/HR-1094,M/s Bharat Petroleum Pvt. Ltd.,Agroha Mor,Commercial,Commercial,778.95sqm.,Hisar,02/01/2003,--,2003,1,Map View
CLU/HR-1097,"Sh. Manoj Bansal, Holy Education Society.",Tosham Road.,Institutional,Educational,8965.35sqm.,Hisar,06/01/2003,--,2003,2,Map View
CLU/HR-1092,Smt. Kamla Godara & Krishna Devi. Indian Oil Corporation Ltd.,Gangwa road.,Commercial,Commercial,1618.74sqm.,Hisar,19/11/2004,--,2004,90,Map View
CLU/HR-1093,Sh. Ram Kumar,"Adampur road, Agroha.",Commercial,Commercial,2088.81sqm.,Hisar,10/02/2004,--,2004,10,Map View
CLU/HR-665,"Smt. Shakuntla Devi, Vikram Kumar M/s Indian Oil Corporation Pvt. Ltd.",Hisar-Hansi road.,Commercial,Commercial,1552.12sqm.,Hisar,31/08/2005,--,2005,35,Map View
CLU/HR-675,"Sh. Sandeep Jain, Vinay Garg, Bir",Public and Semi Public,Commercial,Petrol Pump,1622.9sqm.,Hisar,23/11/2005,--,2005,93,Map View
CLU/HR-680,Sidharth Education Society,Hisar-Tosham road.,Institutional,Educational,8093.85sqm.,Hisar,24/11/2005,--,2005,94,Map View
CLU/HR-682,Smt. Nihali Devi w/o Balbir,"Rajgarh road, Hisar.",Commercial,Petrol Pump (Commercial),2880.99sqm.,Hisar,26/10/2005,--,2005,87,Map View
CLU/HR-1102,"Sh. Joginder Singh, Singhara singh.",Bhiwani road.,Commercial,Commercial,2330Sq.yds,Hisar,24/12/2006,--,2006,188,Map View
CLU/HR-670,Smt. Anjana Singh M/s Little Kingdom Primary School.,Tosham Road.,Institutional,Educational,5157.19sqm.,Hisar,18/04/2006,--,2006,55,Map View
CLU/HR-676,Sh. Rajesh Goel & Sh. Vivek Goel,Hisar,Commercial,Petrol Pump,1600sqm.,Hisar,14/07/2006,--,2006,115,Map View
CLU/HR-684,"Sh. Pawan Kumar, Anil Kumar, Sunil Kumar.","Delhi Road, Hisar.",Commercial,Repair and servicing of Automobile.,16462.5sqm.,Hisar,13/03/2006,--,2006,33,Map View
CLU/HR-686,"Sh. Rakesh s/o Sh. Sheo Ram, M/S CD Motor Outlet",Kaimri road.,Commercial,Commercial(Petrol Pump),773sqm.,Hisar,12/10/2006,--,2006,157,Map View
CLU/HR-687,M/s Ganpati Timbers Pvt. Ltd.,Delhi- Hansi road.,Industrial,Industrial,8058sqm.,Hisar,19/06/2006,--,2006,103,Map View
CLU/HR-688,Ram Sarup S/o Sh. Sohan Lal,Agroha Mor.,Commercial,Petrol Pump,1587.13sqm.,Hisar,30/06/2006,--,2006,109,Map View
CLU/HR-701,"Sh. Amit Gupta, ASM Plywood Industries.","Raipur road, Hisar.",Industrial,Industrial,4046.82sqm.,Hisar,18/09/2007,--,2007,122,Map View
CLU/HR-703,Sh. Anant Kumar M/s Sunrise Packing Industries.,Near Byepass,Industrial,Industrial,1896.95sqm.,Hisar,31/07/2008,--,2008,146,Map View
CLU/HR-1077,"Sh. S.R. Aggarwal, M/s C.D.Goyal Foundation",Tosham Road.,Institutional,Educational,12342.8sqm.,Hisar,29/05/2009,--,2009,69,Map View
CLU/HR-1090,"Divisional Retail Sales Manager, IOCL","Delhi Road, Hisar.",Commercial,Commercial,3000sqm.,Hisar,11/02/2009,--,2009,39,Map View
CLU/HR-717,Smt. Sunita w/o Sumer Singh,"Rajgarh road, Hisar.",Commercial,Banquet Hall,10207sqm.,Hisar,15/09/2009,--,2009,190,Map View
CLU/HR-718,Smt. Sushila Devi,Ladwa Link road.,Commercial,Commercial,1050sqm.,Hisar,31/08/2009,--,2009,183,Map View
CLU/HR-719,Sh. Rakesh Bansal s/o Sh. Jaggan Nath Bansal- J.N.B. Steel Industries Pvt. Ltd.,"Raipur road, Hisar.",Industrial,Industrial,5665.55sqm.,Hisar,22/08/2009,--,2009,163,Map View
CLU/HR-710,"Sh. Arvind Kumar, Satish Kumar & Sh. Sushil Kumar Ss/o Sh. Shiri Chand",Tosham Road,Recreational,Recreational,11327.8sqm.,Hisar,28/06/2010,--,2010,171,Map View
CLU/HR-715,M/s Modern Society India (Modes India),Hisar,Institutional,Middle School,10167.6sqm.,Hisar,08/09/2010,--,2010,262,Map View
CLU/HR-716,"Sh. Puneet Goyal- Om Welfare Society, Hisar",Barwala Road.,Institutional,Educational,44506sqm.,Hisar,22/11/2010,--,2010,335,Map View
CLU/HR-722,"Sh. Sajjan Agarwal, Haryana Gaushala",Tosham Road.,Commercial,Bio-gas Fertilizers and Industrial,6829.44sqm.,Hisar,07/09/2010,--,2010,259,Map View
CLU/HR-724,Sh. Akshay Malik -M/s Malik Automobiles Pvt. Ltd.,Barwala Road.,Industrial,"Workshop, Garrage (Industry)",4047sqm.,Hisar,27/07/2010,--,2010,218,Map View
CLU/HR-725,M/s Hisar Motors Pvt. Ltd. through Sh. Shyam Lal Garg,Hisar,Industrial,Industrial,3267.34sqm.,Hisar,31/05/2010,--,2010,125,Map View
CLU/HR-730,M/s Shambhu Industries,Satrod link road.,Industrial,Industrial,6854.3sqm.,Hisar,15/09/2010,--,2010,269,Map View
CLU/HR-731,M/s Shree Kirshna Industries.,Bhiwani road.,Industrial,Industrial,1634.7sqm.,Hisar,15/12/2010,--,2010,367,Map View
CLU/HR-732,M/s Hindustan Petroleum Co. Ltd.,"Jind road, Narnaund",Commercial,Petrol Pump (Commercial),1520sqm.,Hisar,29/12/2010,--,2010,385,Map View
CLU/HR-679,"Sh. Roshan Lal Garg, Mechanical Engineer, GLF, Hisar.","Sirsa Road, Hisar.",Commercial,Retail Outlet,3982.94sqm.,Hisar,14/01/2011,--,2011,10,Map View
CLU/HR-705,Sagu Dream Land,Barwala Road.,Recreational,Recreational Park,19132.5sqm.,Hisar,20/05/2011,--,2011,144,Map View
CLU/HR-705,M/s Sagu Land Pvt. Ltd.,Talwandi Rana & Behbalpur,Recreational,Recreational,19132.5sqm.,Hisar,20/05/2011,--,2011,145,Map View
CLU/HR-716,"Sh. Puneet Goyal Om Welfare Society, Hisar",Barwala Road.,Institutional,Educational,34887.6sqm.,Hisar,14/01/2011,--,2011,11,Map View
CLU/HR-726,Sh. Ajay Kharinta S/o Sh. Harish Kharinta,Hisar,Commercial,Retail Outlet,1322.13sqm.,Hisar,01/12/2011,--,2011,358,Map View
CLU/HR-729,Sh. Anurag Bishnoi - Community Centre/ Club site.,Mirzapur road.,Recreational,Recreational,3787.35sqm.,Hisar,21/03/2011,--,2011,69,Map View
CLU/HR-734,M/s Jai Shree Balaji Recreations,Hisar,Commercial,Banquet Hall,10562.5sqm.,Hisar,24/01/2011,--,2011,27,Map View
CLU/HR-744,M/s Bajrang Bali Warehouse,Hisar,Warehouse,Warehouse,50645.7sqm.,Hisar,31/05/2011,--,2011,149,Map View
CLU/HR-746,M/s Green Palace,Hisar,Commercial,Motel with Banquet Facility,4168.25sqm.,Hisar,14/07/2011,--,2011,185,Map View
CLU/HR-749,M/s Rose Valley Polymers Pvt. Ltd.,Satrod Kalan,Industrial,Industry,7183.11sqm.,Hisar,18/07/2011,--,2011,195,Map View
CLU/HR-750,M/s Sujeet Motors Pvt. Ltd.,Hisar,Industrial,Workshop Garrage,8347.91sqm.,Hisar,04/05/2011,--,2011,130,Map View
CLU/HR-751,Smt. Arshdeep Kaur W/o Sh. Amrit Chauhan,Hisar,Commercial,Petrol Pump,2250sqm.,Hisar,13/12/2011,--,2011,365,Map View
CLU/HR-765,Sh. Parmod S/o Sh. Balwant Singh Sh. Ravinder Singh S/o Sh. Dharmender Singh,Hisar,Industrial,Service Garrage,3397.35sqm.,Hisar,27/12/2011,--,2011,390,Map View
CLU/HR-737,Smt. Sunita W/o Sh. Sumer Singh,Hisar,Commercial,Petrol Pump,2933.3sqm.,Hisar,27/04/2012,--,2012,116,Map View
CLU/HR-742,Sh. Kuldeep Singh S/o Sh. Lizza Ram,Hisar,Commercial,Retail Outlet,1600sqm.,Hisar,06/01/2012,--,2012,5,Map View
