File No,Applicant Name,Location/ Controlled Area,Purpose,Activity,Granted Area,District,CLU Permission on,CLU Corrigendum on,clu_year,Sl. No.,Location on Map
CLU/KL-440,K. R. Nursing,Karnal,Commercial,Commercial,12140.6sqm.,Karnal,28/11/1988,--,1988,2,Map View
CLU/KL-461,M/s Aryana Drugs,Daha,Industrial,Industrial Unit,910.44sqm.,Karnal,04/05/1990,--,1990,6,Map View
CLU/KL-701,NBAGR,Baldhi,Industrial,Industrial Purpose,80937.1sqm.,Karnal,24/01/1990,--,1990,2,Map View
CLU/KL-553,M/s B. M. School Pvt. Ltd.,Nawal,Institutional,Institutional,24209sqm.,Karnal,08/04/1991,--,1991,4,Map View
CLU/KL-617,M/s Liberty Shoes Ltd.,Kurtail,Commercial,Commercial,171137sqm.,Karnal,22/04/1991,--,1991,5,Map View
CLU/KL-567,"The Area Secretary, Radha Swami Satsang Beas",Kabbopura,Institutional,Religious,27430.3sqm.,Karnal,26/07/1994,--,1994,13,Map View
CLU/KL-580,Mishan Flora India Ltd.,Karnal,Industrial,Industrial Unit,73376.7sqm.,Karnal,25/05/1995,--,1995,17,Map View
CLU/KL-578,M/s Otco International Ltd.,Basdhara,Industrial,Industrial Unit,19628.9sqm.,Karnal,22/01/1996,--,1996,2,Map View
CLU/KL-581,M/s Pelical Grand Motel,Jhanjhari,Commercial,Commercial,1555.93sqm.,Karnal,13/10/1997,--,1997,28,Map View
CLU/KL-590,M/s Doon Hath Kagaz Udhyog,Daha,Commercial,Commercial,1184.71sqm.,Karnal,13/10/1997,--,1997,29,Map View
CLU/KL-592,M/s Universal Steel Discs Pvt. Ltd.,Baldhi,Industrial,Industrial,6751.14sqm.,Karnal,01/03/2000,--,2000,5,Map View
CLU/KL-597,M/s Pals & Kins India Pvt. Ltd,Village Malikpur,Commercial,Commercial,11494.9sqm.,Karnal,24/05/2001,--,2001,28,Map View
CLU/KL-601,M/s Himalaya International,Basdhara,Industrial,Industrial Unit,46134.2sqm.,Karnal,13/12/2001,--,2001,54,Map View
CLU/KL-605,M/s Rana Filling Station,Vill. Gharaunda,Commercial,Retail Outlet,1542.28sqm.,Karnal,31/05/2001,--,2001,31,Map View
CLU/KL-606,Rishi Agarwal,Kambopura,Commercial,Commercial,445.34sqm.,Karnal,31/08/2001,--,2001,48,Map View
CLU/KL-837,Indian Oil Corporation Ltd.,Gharaunda,Commercial,Commercial,1269.99sqm.,Karnal,20/11/2001,--,2001,52,Map View
CLU/KL-611,M/s Vintech Formulation,Ranwar Road (Karnal),Industrial,Industry,2238.5Sq.yds,Karnal,29/01/2003,--,2003,7,Map View
CLU/KL-622,Sh. Om Parkash Lather,Karnal,Commercial,Retail Outlet,1566.66Sq.yds,Karnal,01/10/2003,--,2003,41,Map View
CLU/KL-638,Essar Oil Ltd.,Basdhara,Commercial,Commercial,1937.68sqm.,Karnal,14/05/2003,--,2003,21,Map View
CLU/KL-1041,D.C.M. Shimran Consolidated Ltd.,8 K.M. Kaithal Road (Karnal),Warehouse,Godown,4217.23sqm.,Karnal,20/10/2004,--,2004,77,Map View
CLU/KL-621,Sh. Sudesh Kumari W/o Rajinder,Gharaunda,Commercial,Retail Outlet,1914.95Sq.yds,Karnal,12/03/2004,--,2004,14,Map View
CLU/KL-629,Numaligarh Refinery Ltd.,Malikpur,Commercial,Retail Outlet,3280.95sqm.,Karnal,05/10/2004,--,2004,70,Map View
CLU/KL-634,Jagdish S/o Sh. Lal Singh,Ranwar Road (Karnal),Institutional,Educational,2248.23sqm.,Karnal,27/10/2004,--,2004,82,Map View
CLU/KL-636,S.R Resorts Pvt. Ltd.,Jhanjhari,Commercial,Commercial,14517.8sqm.,Karnal,03/12/2004,--,2004,95,Map View
CLU/KL-671,Indian Oil Corporation Ltd.,Khera Kheri,Commercial,Commercial,117098sqm.,Karnal,14/09/2004,--,2004,61,Map View
CLU/KL-672,Renu Aggarwal,Baldhi,Commercial,Retail Outlet,900sqm.,Karnal,01/10/2004,--,2004,67,Map View
CLU/KL-786,Sh. Jasbir Singh & Sh. Tajinder Singh,"6 K.M. Stone, Kaithal Road (Karnal)",Industrial,Industrial,11150Sq.yds,Karnal,04/11/2004,--,2004,88,Map View
CLU/KL-1023,Ajit Singh Chawla,Karnal,Commercial,Retail Outlet,1766sqm.,Karnal,17/03/2005,--,2005,7,Map View
CLU/KL-1025,M/s P.P Automobile,Karnal,Industrial,Industrial,4413.08sqm.,Karnal,16/08/2005,--,2005,27,Map View
CLU/KL-1027,M/s Samta Motors Pvt. Ltd.,Karnal,Industrial,Industrial,496.93sqm.,Karnal,10/03/2005,--,2005,5,Map View
CLU/KL-443,Sh. Rajiv Ahuja,Gharaunda,Commercial,Retail Outlet,3000Sq.yds,Karnal,20/12/2005,--,2005,121,Map View
CLU/KL-609,M/s AnmolBanquet Hall,Karnal,Commercial,Commercial,5112.64sqm.,Karnal,08/09/2005,--,2005,49,Map View
CLU/KL-624,Flagship IOC,Shamgarh,Commercial,Commercial,6120.82sqm.,Karnal,11/03/2005,--,2005,6,Map View
